-184.39, 185.39, 0, 2.0027, 1.9973, 0
-0.2259, 1.2259, 0, 5.5272, 2.3992, 0
0.6045, 0.3955, 0, 2.8174, 0.6625, 0
0.3278, 0.6722, 0, 4.543, 0.9852, 0
0.2327, 0.7673, 0, 5.99, 1.2135, 0
0.1537, 0.8463, 0, 8.0404, 1.4913, 0
0.0996, 0.9004, 0, 10.812, 1.7687, 0
0.0625, 0.9375, 0, 14.823, 2.0403, 0
0.0368, 0.9632, 0, 21.4, 2.306, 0
0.0188, 0.9812, 0, 34.999, 2.5662, 0
0.7444, 0.2556, 0, 4.1205, 0.8718, 0
0.6423, 0.3577, 0, 4.7266, 1.0025, 0
0.6002, 0.3998, 0, 5.1405, 1.0153, 0
0.516, 0.484, 0, 5.8492, 1.1732, 0
0.4387, 0.5613, 0, 6.6707, 1.341, 0
0.5459, -0.5333, 0.9874, 6.3703, 2.5517, 1.6753
0.7249, -0.7548, 1.0299, 6.2118, 3.3883, 1.8596
2.1912, -2.2852, 1.094, 5.547, 4.5687, 2.0446
0.0486, 0.7759, 0.1755, 30.26, 3.1243, 0.7326
0.58, 0.42, 0, 6.3218, 1.0094, 0
0.5543, 0.4457, 0, 6.6328, 1.1023, 0
0.0112, 0.6832, 0.3056, 99.757, 4.1286, 1.009
0.0318, 0.6753, 0.2929, 42.533, 3.9404, 1.0533
0.1075, 0.7162, 0.1763, 18.959, 3.0638, 1.0014
0.0498, 0.6866, 0.2636, 31.864, 3.7811, 1.1279
0.0512, 0.6995, 0.2493, 31.825, 3.7716, 1.1606
0.05, 0.7142, 0.2358, 32.915, 3.7908, 1.1915
0.0474, 0.7294, 0.2232, 34.758, 3.8299, 1.2209
0.0771, 0.7951, 0.1278, 25.326, 3.3928, 1.1426
0.04, 0.759, 0.201, 40.343, 3.9465, 1.2759
0.1083, 0.7489, 0.1428, 20.192, 3.4733, 1.0064
0.061, 0.7157, 0.2233, 29.2, 4.1252, 1.1845
0.0212, 0.6709, 0.3079, 62.487, 4.9502, 1.3582
0.4836, 0.5164, 0, 8.7824, 1.6967, 0
0.4504, 0.5496, 0, 9.3348, 1.79, 0
0.419, 0.581, 0, 9.9142, 1.8835, 0
0.1734, 0.7253, 0.1013, 17.166, 3.1103, 0.7177
0.0336, 0.7816, 0.1848, 55.208, 4.2842, 0.8578
0.0689, 0.7202, 0.2109, 31.366, 4.2412, 0.9472
0.1176, 0.6581, 0.2243, 22.054, 4.0325, 1.0181
0.2257, 0.5821, 0.1922, 14.24, 2.9702, 1.017
0.2693, 0.5763, 0.1544, 14.044, 2.8611, 1.0591
0.2201, 0.5618, 0.2181, 15.918, 3.3672, 1.1548
0.2751, 0.5943, 0.1306, 14.314, 2.737, 1.1092
0.2711, 0.6119, 0.117, 14.654, 2.7183, 1.1234
0.2784, 0.6067, 0.1149, 14.645, 2.6155, 1.4318
0.2562, 0.6505, 0.0933, 15.588, 2.7412, 1.1408
0.2271, 0.6155, 0.1574, 16.914, 3.0841, 1.2619
0.2492, 0.644, 0.1068, 16.155, 2.8819, 0.9942
0.2153, 0.6115, 0.1732, 17.793, 3.2937, 1.1478
0.1806, 0.5767, 0.2427, 19.875, 3.8092, 1.2829
0.1308, 0.5504, 0.3188, 24.154, 4.6119, 1.4195
0.0588, 0.5482, 0.393, 39.996, 5.9132, 1.5471
0.4451, 0.5549, 0, 11.805, 1.7967, 0
0.2708, 0.6524, 0.0768, 16.591, 2.6964, 0.6814
0.1728, 0.6845, 0.1427, 22.397, 3.4595, 0.8073
0.1947, 0.6384, 0.1669, 20.764, 3.4657, 0.8911
0.1913, 0.6467, 0.162, 21.235, 3.4819, 0.9011
0.1868, 0.6558, 0.1574, 21.803, 3.5098, 0.9106
0.1665, 0.7057, 0.1278, 23.949, 3.5199, 0.8486
0.1624, 0.7133, 0.1243, 24.598, 3.556, 0.8569
0.158, 0.721, 0.121, 25.297, 3.5963, 0.865
0.1538, 0.7284, 0.1178, 26.017, 3.6383, 0.8731
0.1587, 0.7024, 0.1389, 25.497, 3.7364, 0.955
0.1453, 0.7426, 0.1121, 27.547, 3.7288, 0.889
0.1413, 0.7494, 0.1093, 28.346, 3.7763, 0.8969
0.1374, 0.7558, 0.1068, 29.16, 3.8244, 0.9048
0.1336, 0.7619, 0.1045, 29.99, 3.8734, 0.9128
0.1299, 0.768, 0.1021, 30.835, 3.9233, 0.9203
0.1267, 0.7734, 0.0999, 31.681, 3.9727, 0.9288
0.1288, 0.7528, 0.1184, 31.353, 4.0904, 1.0072
0.1303, 0.7324, 0.1373, 31.217, 4.2049, 1.0946
0.1384, 0.7096, 0.152, 30.077, 4.2492, 1.1697
0.15, 0.6871, 0.1629, 28.63, 4.2426, 1.234
0.1608, 0.6659, 0.1733, 27.568, 4.2341, 1.297
0.1722, 0.6468, 0.181, 26.586, 4.1999, 1.3535
0.1834, 0.6306, 0.186, 25.734, 4.1462, 1.4037
0.223, 0.6176, 0.1594, 22.994, 3.7346, 1.4428
0.2289, 0.6114, 0.1597, 22.864, 3.6914, 1.4886
0.2098, 0.6004, 0.1898, 24.408, 3.9643, 1.5343
0.2708, 0.6428, 0.0864, 20.941, 3.2456, 1.1121
0.238, 0.6308, 0.1312, 22.987, 3.6217, 1.2373
0.2288, 0.622, 0.1492, 23.792, 3.7796, 1.2534
0.1941, 0.6105, 0.1954, 26.695, 4.2582, 1.3577
0.15, 0.6031, 0.2469, 31.84, 4.9285, 1.4683
0.0955, 0.606, 0.2985, 43.489, 5.852, 1.5736
0.3192, 0.6233, 0.0575, 20.015, 2.9091, 0.7207
0.2404, 0.6567, 0.1029, 24.501, 3.5524, 0.8376
0.2266, 0.6422, 0.1312, 25.684, 3.7922, 0.9335
0.2176, 0.624, 0.1584, 26.554, 4.0044, 1.0238
0.2413, 0.6304, 0.1283, 25.193, 3.678, 0.9699
0.2448, 0.6298, 0.1254, 25.252, 3.6397, 0.9825
